Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Elevation_Function,Num_Nodes,Num_Connections
0.0033898353576660156,4.981831955341887,5.14251297838985,0.16068102304796272,"[1, 4, 6]",10,5,elevation_func_1,10.0,5.0
0.0035729408264160156,3.4761793916982313,4.056695043221334,0.5805156515231025,"[7, 5, 8, 9]",10,10,elevation_func_1,10.0,10.0
0.0033261775970458984,0.0,3.348146822300059,3.348146822300059,"[4, 7]",10,15,elevation_func_1,10.0,15.0
0.0035059452056884766,1.3089019830520536,5.381266149438774,4.072364166386721,"[2, 7, 5]",10,20,elevation_func_1,10.0,20.0
0.003486156463623047,0.2719384857904319,2.1053213479292356,1.8333828621388037,"[5, 3, 7]",10,25,elevation_func_1,10.0,25.0
0.002754688262939453,0.652363803141699,1.0686848252874415,0.4163210221457425,"[4, 8, 6]",10,30,elevation_func_1,10.0,30.0
0.0035429000854492188,0.4957724939254664,4.598385204350279,4.102612710424813,"[1, 6, 4]",10,35,elevation_func_1,10.0,35.0
0.004542112350463867,3.7299826929438,3.9009602443273206,0.170977551383521,"[3, 4, 2, 7]",10,40,elevation_func_1,10.0,40.0
0.0037670135498046875,0.9296373348982447,2.4407489098521076,1.5111115749538628,"[3, 5, 7, 6]",10,45,elevation_func_1,10.0,45.0
0.003628969192504883,0.0,2.624464852824664,2.624464852824664,"[0, 6]",10,50,elevation_func_1,10.0,50.0
0.015417814254760742,0.672626339548148,2.5503221403951426,1.8776958008469946,"[0, 14, 1]",20,5,elevation_func_1,20.0,5.0
0.006967782974243164,0.0,0.05848919168798816,0.05848919168798816,"[1, 18]",20,10,elevation_func_1,20.0,10.0
0.014856100082397461,1.4710249878854174,2.5010449174749425,1.0300199295895252,"[11, 8, 12]",20,15,elevation_func_1,20.0,15.0
0.014795064926147461,0.0,0.11091568214757985,0.11091568214757985,"[10, 11]",20,20,elevation_func_1,20.0,20.0
0.014689922332763672,2.892309005515667,3.054656061138484,0.16234705562281682,"[4, 19, 8]",20,25,elevation_func_1,20.0,25.0
0.015031814575195312,0.0,2.513227092629368,2.513227092629368,"[2, 7]",20,30,elevation_func_1,20.0,30.0
0.014814138412475586,0.17758838339366645,0.5247563486678564,0.3471679652741899,"[1, 15, 12]",20,35,elevation_func_1,20.0,35.0
0.01526188850402832,1.637372669246544,2.416486964965834,0.7791142957192898,"[4, 9, 7]",20,40,elevation_func_1,20.0,40.0
0.01457524299621582,2.6394084653918126,2.892263952109948,0.2528554867181354,"[6, 16, 10]",20,45,elevation_func_1,20.0,45.0
0.01459193229675293,1.8347126509149292,1.9033154055289114,0.06860275461398224,"[0, 17, 14]",20,50,elevation_func_1,20.0,50.0
0.03319215774536133,0.0,1.6063402756868261,1.6063402756868261,"[9, 13]",30,5,elevation_func_1,30.0,5.0
