Convergence Time,Raw Cost,Total Cost,Traffic Cost,Path,Number of Nodes,Number of Connections,Norm,Elevation_Function
0.004475831985473633,1.2134260705399669,1.4434856118196382,0.23005954127967132,"[1, 6, 8, 2]",10,20,1.0,elevation_func_1
0.004143238067626953,0.0,5.16294114826768,5.16294114826768,"[3, 8]",10,40,5.0,elevation_func_1
0.0039479732513427734,0.0,2.4412527766460856,2.4412527766460856,"[3, 8]",10,60,5.0,elevation_func_1
0.002744913101196289,0.0,0.18759076801125651,0.18759076801125651,"[4, 5]",10,80,1.0,elevation_func_1
0.003796100616455078,1.0545637181348013,5.28650739606095,4.231943677926148,"[2, 6, 5]",10,100,3.0,elevation_func_1
0.0036208629608154297,0.0,5.6131093076825165,5.6131093076825165,"[4, 6]",10,120,2.0,elevation_func_1
0.003843069076538086,3.7813375850589024,4.484568565519785,0.7032309804608827,"[1, 0, 8, 7, 4]",10,140,3.0,elevation_func_1
0.003567218780517578,0.0,1.5478466573044236,1.5478466573044236,"[1, 2]",10,160,1.0,elevation_func_1
0.003719806671142578,0.0,3.6730155139243994,3.6730155139243994,"[6, 9]",10,180,3.0,elevation_func_1
0.003520965576171875,0.0,4.233924996591875,4.233924996591875,"[6, 9]",10,200,3.0,elevation_func_1
0.010798215866088867,0.40451917964665407,0.9239191725248563,0.5193999928782023,"[5, 16, 9]",20,20,4.0,elevation_func_1
0.015870094299316406,0.0,1.0548480003195004,1.0548480003195004,"[5, 11]",20,40,6.0,elevation_func_1
0.013343095779418945,0.0,3.848084052961287,3.848084052961287,"[2, 6]",20,60,4.0,elevation_func_1
0.014281988143920898,2.040978187495015,3.3027485158814054,1.2617703283863901,"[1, 9, 18]",20,80,17.0,elevation_func_1
0.014182806015014648,3.1710444637756465,3.213237559184733,0.042193095409086556,"[11, 10, 17]",20,100,6.0,elevation_func_1
0.01444101333618164,0.0,2.5516056100952564,2.5516056100952564,"[9, 12]",20,120,3.0,elevation_func_1
0.012885808944702148,0.0,0.08794671930122844,0.08794671930122844,"[2, 13]",20,140,11.0,elevation_func_1
0.014166116714477539,2.1580961929577445,2.93011654896093,0.7720203560031857,"[1, 14, 19]",20,160,18.0,elevation_func_1
0.014446258544921875,1.7597570877305535,2.0956546001016285,0.335897512371075,"[1, 14, 13, 3]",20,180,2.0,elevation_func_1
0.014754056930541992,0.0,1.4313462616339523,1.4313462616339523,"[5, 9]",20,200,4.0,elevation_func_1
0.03284502029418945,2.0823779850571054,3.283308795709082,1.2009308106519767,"[2, 0, 23]",30,20,21.0,elevation_func_1
0.03225207328796387,0.7019603336295699,1.7309665632546067,1.0290062296250369,"[1, 18, 4]",30,40,3.0,elevation_func_1
0.038336992263793945,1.4712992388671022,2.6783818086904256,1.2070825698233234,"[0, 9, 19, 12, 7]",30,60,7.0,elevation_func_1
0.03745603561401367,2.2887912589316652,3.2934578946137565,1.004666635682091,"[2, 21, 1, 28]",30,80,26.0,elevation_func_1
0.03531002998352051,0.0,1.615969740934713,1.615969740934713,"[5, 12]",30,100,7.0,elevation_func_1
0.036060333251953125,0.3732768584705559,0.671333947834245,0.29805708936368913,"[5, 14, 23]",30,120,18.0,elevation_func_1
0.03378701210021973,0.0,1.717663472531269,1.717663472531269,"[0, 27]",30,140,27.0,elevation_func_1
0.03177499771118164,0.3430177203368412,0.35564653505912425,0.012628814722283055,"[9, 24, 23]",30,160,14.0,elevation_func_1
0.031588077545166016,2.5701498312127855,3.3346838126800336,0.764533981467248,"[5, 10, 8, 22]",30,180,17.0,elevation_func_1
0.03163433074951172,1.3991609222131873,1.4540867925694112,0.05492587035622387,"[7, 23, 29]",30,200,22.0,elevation_func_1
0.06876397132873535,0.0,2.0433166442823847,2.0433166442823847,"[2, 39]",40,20,37.0,elevation_func_1
0.06014513969421387,0.0,4.4367666032159425,4.4367666032159425,"[8, 36]",40,40,28.0,elevation_func_1
0.0457000732421875,0.0,0.37652725858474567,0.37652725858474567,"[28, 32]",40,60,4.0,elevation_func_1
0.059465885162353516,0.16894970651717633,0.37215194254895834,0.203202236031782,"[6, 25, 9]",40,80,3.0,elevation_func_1
0.06322002410888672,1.983449775336534,2.095816613159328,0.11236683782279377,"[9, 4, 33]",40,100,24.0,elevation_func_1
0.06549668312072754,0.0,1.2112282065423496,1.2112282065423496,"[15, 23]",40,120,8.0,elevation_func_1
0.06574177742004395,1.2319324133691736,2.694567965543259,1.4626355521740853,"[14, 22, 15, 38]",40,140,24.0,elevation_func_1
0.06462597846984863,1.3833268666683038,2.4266612685557796,1.0433344018874757,"[9, 7, 30]",40,160,21.0,elevation_func_1
0.0624842643737793,1.4447328572505234,2.0785354524466824,0.633802595196159,"[8, 23, 36]",40,180,28.0,elevation_func_1
0.06299400329589844,0.9215504985352219,1.9724116896134813,1.0508611910782595,"[20, 8, 11, 36]",40,200,16.0,elevation_func_1
0.08764290809631348,0.0,0.16383888072838415,0.16383888072838415,"[44, 49]",50,20,5.0,elevation_func_1
0.09365391731262207,1.014905844222047,1.3996373159308284,0.3847314717087813,"[5, 14, 34, 9]",50,40,4.0,elevation_func_1
0.1285839080810547,0.0,1.3976215765581412,1.3976215765581412,"[3, 37]",50,60,34.0,elevation_func_1
0.09485793113708496,1.8072363869143016,2.649108315465387,0.8418719285510856,"[7, 25, 27, 8]",50,80,1.0,elevation_func_1
0.09351396560668945,0.0,0.9433771872603047,0.9433771872603047,"[2, 13]",50,100,11.0,elevation_func_1
0.09473109245300293,1.5437623266484692,3.483046931932855,1.939284605284386,"[8, 31, 47]",50,120,39.0,elevation_func_1
0.08780097961425781,0.3055957637169626,1.0080387698008297,0.7024430060838671,"[38, 6, 40]",50,140,2.0,elevation_func_1
0.10208916664123535,1.4878878802416562,1.610279563812772,0.12239168357111585,"[6, 4, 24]",50,160,18.0,elevation_func_1
0.0945749282836914,0.1967531089200003,1.7305013283580728,1.5337482194380725,"[24, 26, 29]",50,180,5.0,elevation_func_1
0.09014105796813965,0.741587298190437,0.7836422975780744,0.04205499938763735,"[21, 27, 26]",50,200,5.0,elevation_func_1
0.14967083930969238,1.3527228269878222,1.9608485007437937,0.6081256737559715,"[17, 13, 15, 32]",60,20,15.0,elevation_func_1
0.1338348388671875,0.18771256985875007,1.4883352157077478,1.3006226458489978,"[47, 45, 50]",60,40,3.0,elevation_func_1
0.12519097328186035,1.099542968829862,1.3486953642854793,0.2491523954556174,"[8, 49, 10, 57]",60,60,49.0,elevation_func_1
0.13915181159973145,1.2178517939986877,1.6699760909737549,0.4521242969750672,"[7, 54, 18]",60,80,11.0,elevation_func_1
0.17658019065856934,0.0,1.2533540609795868,1.2533540609795868,"[35, 36]",60,100,1.0,elevation_func_1
0.13782978057861328,0.11297985762058649,0.5193537873445164,0.40637392972392994,"[40, 52, 53]",60,120,13.0,elevation_func_1
0.1401829719543457,0.597604853535878,0.6587195480723307,0.061114694536452685,"[39, 6, 46, 44, 49]",60,140,10.0,elevation_func_1
0.14409112930297852,0.3619453171936171,0.8082797908430905,0.44633447364947343,"[49, 4, 57]",60,160,8.0,elevation_func_1
0.14181828498840332,0.6278220719534033,0.7411268981905461,0.11330482623714278,"[24, 40, 25, 44]",60,180,20.0,elevation_func_1
0.14349079132080078,0.0,1.124114607747897,1.124114607747897,"[21, 49]",60,200,28.0,elevation_func_1
0.19992923736572266,0.04332684142511867,1.907518553091162,1.8641917116660434,"[1, 35, 63]",70,20,62.0,elevation_func_1
0.20714497566223145,0.26401219394568076,1.5698095149985813,1.3057973210529006,"[29, 16, 33]",70,40,4.0,elevation_func_1
0.2497119903564453,0.0,1.6746021426367275,1.6746021426367275,"[7, 27]",70,60,20.0,elevation_func_1
0.18261313438415527,0.0,0.09718513068625811,0.09718513068625811,"[3, 4]",70,80,1.0,elevation_func_1
0.17638802528381348,0.0,1.6812246249491047,1.6812246249491047,"[37, 52]",70,100,15.0,elevation_func_1
0.21607089042663574,0.0,2.3040838888897373,2.3040838888897373,"[44, 47]",70,120,3.0,elevation_func_1
0.18449974060058594,1.0484234974958397,2.0252556071322427,0.976832109636403,"[17, 57, 35]",70,140,18.0,elevation_func_1
0.19997811317443848,0.4321290305065917,1.525275285908666,1.0931462554020743,"[27, 51, 57, 63]",70,160,36.0,elevation_func_1
0.1873180866241455,0.19598075095857426,1.482852577787116,1.2868718268285417,"[19, 46, 67]",70,180,48.0,elevation_func_1
